filename,text,testament,book,chapter,verse,duration_seconds,speaker_id,row_idx,lens_ratio,lens_ratio_z,lead_silence_ms,trail_silence_ms,is_first_verse,heading_before,heading_after,is_verse_range
1CH_006_Verse_076.wav,وَمِنْ مُدُنِ أَرَاِضي سِبْطِ نَفْتَالِي، قَادَشَ فِي الْجَلِيلِ وَمَرَاعِيهَا، وَحَمُّونَ وَمَرَاعِيهَا وَقَرْيَتَايِمَ وَمَرَاعِيهَا.,Old Testament,1 Chronicles,006,076,10.1,SPEAKER_01,16537,0.0748148148148148,0.004800204753131491,290,160,False,False,False,False
1PE_001_Verse_023.wav,فَأَنْتُمْ قَدْ وُلِدْتُمْ وِلادَةً ثَانِيَةً لَا مِنْ زَرْعٍ بَشَرِيٍّ يَفْنَى، بَلْ مِمَّا لَا يَفْنَى: بِكَلِمَةِ اللهِ الْحَيَّةِ الْبَاقِيَةِ إِلَى الأَبَدِ.,New Testament,1 Peter,001,023,12.21,SPEAKER_00,20171,0.07537037037037038,0.06403239398146386,310,200,False,False,False,False
1SA_017_Verse_038.wav,وَأَلْبَسَ شَاوُلُ دَاوُدَ سُتْرَةَ حَرْبِهِ، وَوَضَعَ عَلَى رَأْسِهِ خُوذَةً مِنْ نُحَاسٍ وَمَنْطَقَهُ بِدِرْعٍ.,Old Testament,1 Samuel,017,038,8.42,SPEAKER_01,10045,0.07451327433628319,-0.027349420078763766,460,130,False,False,False,False
1SA_022_Verse_005.wav,فَقَالَ جَادٌ النَّبِيُّ لِدَاوُدَ «لا تُقِمْ فِي الْحِصْنِ، بَلِ امْضِ وَادْخُلْ أَرْضَ يَهُوذَا». فَانْتَقَلَ دَاوُدُ إِلَى غَابَةِ حَارِثٍ.,Old Testament,1 Samuel,022,005,10.84,SPEAKER_01,21191,0.07633802816901408,0.16720207568902434,320,320,False,False,True,False
2CO_001_Verse_014.wav,كَمَا قَدْ فَهِمْتُمُونَا فَهْماً جُزْئِيًّا، أَنَّنَا سَنَكُونُ فَخْراً لَكُمْ، مِثْلَمَا أَنْتُمْ فَخْرٌ لَنَا، فِي يَوْمِ رَبِّنَا يَسُوعَ.,New Testament,2 Corinthians,001,014,10.44,SPEAKER_00,2066,0.07352112676056338,-0.13313015138420042,290,290,False,False,False,False
2CO_009_Verse_004.wav,لِئَلّا نُضْطَرَّ نَحْنُ، وَلا أَقُولُ أَنْتُمْ، إِلَى الْخَجَلِ بِهذِهِ الثِّقَةِ الْعَظِيمَةِ إِذَا مَا رَافَقَنِي بَعْضُ الْمَقِدُونِيِّينَ وَوَجَدُوكُمْ غَيْرَ جَاهِزِينَ.,New Testament,2 Corinthians,009,004,12.95,SPEAKER_00,28177,0.074,-0.08207367278175275,230,130,False,False,False,False
2KI_001_Verse_005.wav,وَرَجَعَ الرُّسُلُ إِلَى أَخَزْيَا فَسَأَلَهُمْ: «لِمَاذَا رَجَعْتُمْ؟»,Old Testament,2 Kings,001,005,5.16,SPEAKER_00,10798,0.07267605633802818,-0.22322981950616724,390,250,False,False,False,False
2KI_002_Verse_006.wav,ثُمَّ قَالَ لَهُ إِيلِيَّا: «امْكُثْ هُنَا لأَنَّ الرَّبَّ قَدْ أَوْفَدَنِي إِلَى الأُرْدُنِّ». فَأَجَابَ: «حَيٌّ هُوَ الرَّبُّ وَحَيَّةٌ هِيَ نَفْسُكَ إِنِّي لَا أَتْرُكُكَ». فَانْطَلَقَا مَعاً.,Old Testament,2 Kings,002,006,14.4,SPEAKER_00,23777,0.07384615384615385,-0.09847643287575084,550,370,False,False,False,False
2KI_004_Verse_034.wav,ثُمَّ اضْطَجَعَ فَوْقَ جُثَّةِ الصَّبِيِّ، وَوَضَعَ فَمَهُ عَلَى فَمِهِ، وَعَيْنَيْهِ عَلَى عَيْنَيْهِ، وَيَدَيْهِ عَلَى يَدَيْهِ، وَتَمَدَّدَ عَلَيْهِ، فَبَدَأَ الدِّفْءُ يَسْرِي فِي جَسَدِ الصَّبِيِّ.,Old Testament,2 Kings,004,034,15.2,SPEAKER_00,9185,0.07524752475247524,0.05093484718839947,400,380,False,False,False,False
2PE_002_Verse_018.wav,يَنْطِقُونَ بِأَقْوَالٍ طَنَّانَةٍ فَارِغَةٍ، مُشَجِّعِينَ عَلَى الانْغِمَاسِ فِي الشَّهَوَاتِ الْجَسَدِيَّةِ بِمُمَارَسَةِ الدَّعَارَةِ، فَيَصْطَادُونَ مَنْ كَانُوا قَدْ بَدَأُوا يَنْفَصِلُونَ عَنْ رِفَاقِ السُّوءِ الَّذِينَ يَسْلُكُونَ فِي الضَّلالِ.,New Testament,2 Peter,002,018,18.42,SPEAKER_00,22903,0.0730952380952381,-0.17853752381074703,340,290,False,False,False,False
