filename,text,testament,book,chapter,verse,duration_seconds,speaker_id,row_idx,lens_ratio,lens_ratio_z,lead_silence_ms,trail_silence_ms,is_first_verse,heading_before,heading_after,is_verse_range
1CH_003_Verse_021.wav,"Wazao wa Hanania walikuwa: Pelatia na Yeshaya, na wana wa Refaya, na wana wa Arnani, na wana wa Obadia, na wana wa Shekania.",Old Testament,1 Chronicles,003,021,11.34,SPEAKER_05,21574,0.0914516129032258,-0.036543566553283204,280,120,False,False,False,False
1CH_004_Verse_019.wav,"Wana wa mke wa Hodia aliyekuwa dada yake Nahamu walikuwa: baba yake Keila, Mgarmi na Eshtemoa, Mmaakathi.",Old Testament,1 Chronicles,004,019,9.54,SPEAKER_05,21678,0.09085714285714284,-0.07778427649155559,420,490,False,False,False,False
1KI_014_Verse_011.wav,Mbwa watawala wale walio wa nyumba ya Yeroboamu watakaofia ndani ya mji na ndege wa angani watajilisha kwa wale watakaofia mashambani. Bwana amesema!’,Old Testament,1 Kings,014,011,13.8,SPEAKER_05,17191,0.092,0.0015001891262081644,400,1100,False,False,False,False
1KI_021_Verse_011.wav,Hivyo wazee na watu wenye cheo walioishi katika mji wa Nabothi wakafanya kama Yezebeli alivyoelekeza katika barua aliyowaandikia.,Old Testament,1 Kings,021,011,11.52,SPEAKER_05,7947,0.08930232558139535,-0.18564802622734847,830,740,False,False,False,False
1SA_016_Verse_019.wav,"Ndipo Sauli akatuma wajumbe kwa Yese na kumwambia, “Nitumie mwanao Daudi, ambaye anachunga kondoo.”",Old Testament,1 Samuel,016,019,8.78,SPEAKER_05,16952,0.08868686868686868,-0.22834467584649942,470,340,False,False,False,False
1TH_004_Verse_007.wav,"Kwa maana Mungu hakutuitia uchafu, bali utakatifu.",New Testament,1 Thessalonians,004,007,4.42,SPEAKER_06,13635,0.08839999999999999,-0.2482458775697457,480,260,False,False,False,False
2JN_001_Verse_008.wav,"Jihadharini msije mkapoteza kile mlichokitenda, bali mpate kupewa thawabu kamilifu.",New Testament,2 John,001,008,7.73,SPEAKER_06,17167,0.09313253012048194,0.08006822884983536,300,470,False,False,False,False
2KI_019_Verse_014.wav,"Hezekia akapokea barua kutoka kwa wale wajumbe, naye akaisoma. Kisha akapanda katika Hekalu la Bwana , akaikunjua mbele za Bwana .",Old Testament,2 Kings,019,014,11.58,SPEAKER_05,14514,0.08907692307692308,-0.2012850787038391,840,1090,False,True,False,False
2SA_014_Verse_014.wav,"Kama vile maji yaliyomwagika ardhini, yasivyoweza kuzoleka tena, hivyo sisi kufa ni lazima. Lakini Mungu haondoi uhai, badala yake, yeye hufanya njia ili kwamba aliyefukuzwa asibaki akiwa amefarikishwa naye.",Old Testament,2 Samuel,014,014,18.93,SPEAKER_05,24883,0.09144927536231884,-0.036705730899742904,380,720,False,False,False,False
2SA_018_Verse_003.wav,"Lakini watu wakasema, “Haikupasi kwenda, ikiwa sisi tutalazimika kukimbia, wao hawatatujali. Hata kama nusu yetu tukifa hawatajali, lakini wewe una thamani ya watu kama sisi kumi elfu. Ingekuwa bora zaidi kwako basi kutupatia msaada kutoka mjini.”",Old Testament,2 Samuel,018,003,21.84,SPEAKER_05,7078,0.08842105263157894,-0.24678537425573413,580,320,False,False,False,False
COL_002_Verse_014.wav,"akiisha kuifuta ile hati yenye mashtaka yaliyokuwa yanatukabili, pamoja na maagizo yake. Aliiondoa isiwepo tena, akiigongomea kwenye msalaba wake.",New Testament,Colossians,002,014,13.89,SPEAKER_06,27830,0.09513698630136987,0.21912518636126688,180,720,False,False,False,False
COL_003_Verse_011.wav,"Hapa hakuna Myunani wala Myahudi, aliyetahiriwa wala asiyetahiriwa, asiyestaarabika wala aliyestaarabika, mtumwa wala mtu huru, bali Kristo ni yote, na ndani ya wote.",New Testament,Colossians,003,011,15.18,SPEAKER_06,22999,0.09144578313253011,-0.036948000525779616,480,510,False,False,False,False
DAN_008_Verse_004.wav,"Nikamtazama yule kondoo dume alivyokuwa akishambulia kuelekea magharibi, kaskazini na kusini. Hakuna mnyama yeyote aliyeweza kusimama dhidi yake, wala hakuna aliyeweza kuokoa kutoka nguvu zake. Alifanya kama atakavyo, naye akawa mkuu.",Old Testament,Daniel,008,004,22.24,SPEAKER_03,18351,0.09504273504273504,0.21258660827093612,690,520,False,False,False,False
ECC_002_Verse_011.wav,"Hata hivyo nilipokuja kuangalia yote ambayo mikono yangu ilikuwa imefanya na yale niliyotaabika kukamilisha, kila kitu kilikuwa ni ubatili, ni kukimbiza upepo; hapakuwa na faida yoyote chini ya jua.",Old Testament,Ecclesiastes,002,011,18.5,SPEAKER_04,13391,0.09343434343434344,0.10100619774244146,400,500,False,False,True,False
